BLB,WOL,2869,1,8655,8602,1,2,2011-08-13 00:00:00
FUL,AVL,2870,1,9879,10252,0,0,2011-08-13 00:00:00
LIV,SUN,2871,1,8650,8472,1,1,2011-08-13 00:00:00
NEW,ARS,2873,1,10261,9825,0,0,2011-08-13 00:00:00
QPR,BOL,2874,1,10172,8559,0,4,2011-08-13 00:00:00
WIG,NOR,2878,1,8528,9850,1,1,2011-08-13 00:00:00
STK,CHE,2875,1,10194,8455,0,0,2011-08-14 00:00:00
WBA,MUN,2877,1,8659,10260,1,2,2011-08-14 00:00:00
MCI,SWA,2872,1,8456,10003,4,0,2011-08-15 00:00:00
ARS,LIV,2979,2,9825,8650,0,2,2011-08-20 00:00:00
AVL,BLB,2980,2,10252,8655,3,1,2011-08-20 00:00:00
CHE,WBA,2982,2,8455,8659,2,1,2011-08-20 00:00:00
EVE,QPR,2983,2,8668,10172,0,1,2011-08-20 00:00:00
SUN,NEW,2986,2,8472,10261,0,1,2011-08-20 00:00:00
SWA,WIG,2987,2,10003,8528,0,0,2011-08-20 00:00:00
BOL,MCI,2981,2,8559,8456,2,3,2011-08-21 00:00:00
NOR,STK,2985,2,9850,10194,1,1,2011-08-21 00:00:00
WOL,FUL,2988,2,8602,9879,2,0,2011-08-21 00:00:00
MUN,TOT,2984,2,10260,8586,3,0,2011-08-22 00:00:00
AVL,WOL,3089,3,10252,8602,0,0,2011-08-27 00:00:00
BLB,EVE,3090,3,8655,8668,0,1,2011-08-27 00:00:00
CHE,NOR,3091,3,8455,9850,3,1,2011-08-27 00:00:00
LIV,BOL,3092,3,8650,8559,3,1,2011-08-27 00:00:00
SWA,SUN,3095,3,10003,8472,0,0,2011-08-27 00:00:00
WIG,QPR,3098,3,8528,10172,2,0,2011-08-27 00:00:00
MUN,ARS,3093,3,10260,9825,8,2,2011-08-28 00:00:00
NEW,FUL,3094,3,10261,9879,2,1,2011-08-28 00:00:00
TOT,MCI,3096,3,8586,8456,1,5,2011-08-28 00:00:00
WBA,STK,3097,3,8659,10194,0,1,2011-08-28 00:00:00
ARS,SWA,3189,4,9825,10003,1,0,2011-09-10 00:00:00
BOL,MUN,3190,4,8559,10260,0,5,2011-09-10 00:00:00
EVE,AVL,3191,4,8668,10252,2,2,2011-09-10 00:00:00
MCI,WIG,3193,4,8456,8528,3,0,2011-09-10 00:00:00
STK,LIV,3196,4,10194,8650,1,0,2011-09-10 00:00:00
SUN,CHE,3197,4,8472,8455,1,2,2011-09-10 00:00:00
WOL,TOT,3198,4,8602,8586,0,2,2011-09-10 00:00:00
FUL,BLB,3192,4,9879,8655,1,1,2011-09-11 00:00:00
NOR,WBA,3194,4,9850,8659,0,1,2011-09-11 00:00:00
QPR,NEW,3195,4,10172,10261,0,0,2011-09-12 00:00:00
AVL,NEW,3199,5,10252,10261,1,1,2011-09-17 00:00:00
BLB,ARS,3200,5,8655,9825,4,3,2011-09-17 00:00:00
BOL,NOR,3201,5,8559,9850,1,2,2011-09-17 00:00:00
EVE,WIG,3202,5,8668,8528,3,1,2011-09-17 00:00:00
SWA,WBA,3206,5,10003,8659,3,0,2011-09-17 00:00:00
WOL,QPR,3208,5,8602,10172,0,3,2011-09-17 00:00:00
FUL,MCI,3203,5,9879,8456,2,2,2011-09-18 00:00:00
MUN,CHE,3204,5,10260,8455,3,1,2011-09-18 00:00:00
SUN,STK,3205,5,8472,10194,4,0,2011-09-18 00:00:00
